-147.34 ; -059.50 ; * ; r 
-143.15 ; -055.42 ; * ; r 
-142.05 ; -059.10 ; * ; r 
-141.16 ; -058.70 ; * ; r 
-141.82 ; -061.61 ; * ; r 
-142.89 ; -063.73 ; * ; r 
-138.30 ; -056.69 ; * ; r 
-135.17 ; -057.60 ; * ; r 
-134.75 ; -061.32 ; * ; r 
-134.18 ; -060.29 ; * ; r 
-131.69 ; -063.30 ; * ; r 
-132.88 ; -057.37 ; * ; r 
-132.49 ; -058.49 ; * ; r 
-130.57 ; -060.53 ; * ; r 
-129.21 ; -063.07 ; * ; r 
-129.37 ; -062.34 ; * ; r 
-126.77 ; -053.08 ; * ; r 
-126.93 ; -060.64 ; * ; r 
-127.41 ; -063.69 ; * ; r 
-124.40 ; -054.44 ; * ; r 
-125.08 ; -055.67 ; * ; r 
-124.10 ; -055.39 ; * ; r 
-123.22 ; -054.89 ; * ; r 
-120.71 ; -053.42 ; * ; r 
-123.66 ; -059.10 ; * ; r 
-123.48 ; -059.62 ; * ; r 
-123.51 ; -061.03 ; * ; r 
-122.33 ; -063.36 ; * ; r 
-120.86 ; -063.67 ; * ; r 
-062.41 ; -041.17 ; * ; r 
-062.33 ; -043.74 ; * ; r 
-060.44 ; -043.41 ; * ; r 
-117.14 ; -046.56 ; * ; r 
-117.26 ; -049.16 ; * ; r 
-118.93 ; -056.14 ; * ; r 
-119.59 ; -053.55 ; * ; r 
-118.53 ; -060.85 ; * ; r 
-118.22 ; -061.70 ; * ; r 
-116.99 ; -060.61 ; * ; r 
-115.99 ; -064.00 ; * ; r 
-116.57 ; -056.49 ; * ; r 
-114.01 ; -050.41 ; * ; r 
-115.72 ; -058.41 ; * ; r 
-113.29 ; -052.54 ; * ; r 
-115.10 ; -058.99 ; * ; r 
-113.90 ; -058.11 ; * ; r 
-113.10 ; -059.63 ; * ; r 
-111.81 ; -058.94 ; * ; r 
-112.32 ; -060.39 ; * ; r 
-111.64 ; -060.78 ; * ; r 
-113.61 ; -061.28 ; * ; r 
-111.58 ; -061.87 ; * ; r 
-110.04 ; -051.13 ; * ; r 
-110.75 ; -054.99 ; * ; r 
-109.48 ; -055.85 ; * ; r 
-110.11 ; -051.63 ; * ; r 
-108.08 ; -057.13 ; * ; r 
-108.17 ; -057.40 ; * ; r 
-107.29 ; -052.82 ; * ; r 
-107.84 ; -053.49 ; * ; r 
-107.41 ; -053.93 ; * ; r 
-108.37 ; -063.82 ; * ; r 
-105.70 ; -062.78 ; * ; r 
-105.98 ; -063.52 ; * ; r 
-105.35 ; -051.48 ; * ; r 
-106.04 ; -052.50 ; * ; r 
-106.58 ; -053.74 ; * ; r 
-102.05 ; -057.33 ; * ; r 
-103.30 ; -061.69 ; * ; r 
-102.87 ; -062.80 ; * ; r 
-102.84 ; -064.11 ; * ; r 
-101.70 ; -060.35 ; * ; r 
-100.74 ; -060.28 ; * ; r 
-100.26 ; -061.32 ; * ; r 
-101.48 ; -062.82 ; * ; r 
-100.82 ; -063.72 ; * ; r 
-099.11 ; -062.66 ; * ; r 
-098.82 ; -060.35 ; * ; r 
-098.48 ; -061.80 ; * ; r 
-097.54 ; -062.30 ; * ; r 
-096.18 ; -062.50 ; * ; r 
-097.49 ; -063.06 ; * ; r 
-097.61 ; -063.51 ; * ; r 
-095.86 ; -063.66 ; * ; r 
-095.56 ; -061.02 ; * ; r 
-095.36 ; -057.59 ; * ; r 
-094.51 ; -057.88 ; * ; r 
-092.62 ; -061.46 ; * ; r 
-094.77 ; -053.47 ; * ; r 
-092.91 ; -052.28 ; * ; r 
-072.15 ; -062.51 ; * ; r 
-068.40 ; -050.17 ; * ; r 
-066.18 ; -049.71 ; * ; r 
-058.94 ; -048.02 ; * ; r 
-056.24 ; -047.44 ; * ; r 
-055.37 ; -047.61 ; * ; r 
-056.27 ; -048.08 ; * ; r 
-054.24 ; -046.86 ; * ; r 
-056.52 ; -043.76 ; * ; r 
-054.79 ; -042.18 ; * ; r 
-051.73 ; -049.49 ; * ; r 
-054.67 ; -058.51 ; * ; r 
-051.01 ; -043.08 ; * ; r 
-051.12 ; -043.28 ; * ; r 
-050.38 ; -043.64 ; * ; r 
-050.91 ; -036.97 ; * ; r 
-051.73 ; -039.27 ; * ; r 
-056.55 ; -059.57 ; * ; r 
-057.23 ; -062.07 ; * ; r 
-058.51 ; -063.75 ; * ; r 
-050.23 ; -039.54 ; * ; r 
-050.52 ; -039.98 ; * ; r 
